[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\models\query.py first seen with mtime 1695833624.6436732
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1695833623.1383162
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1695833624.633913
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\template\__init__.py first seen with mtime 1695833624.7169418
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\utils\crypto.py first seen with mtime 1695833624.7474089
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1695833621.952797
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\utils\http.py first seen with mtime 1695833624.756239
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\transaction.py first seen with mtime 1695833624.5968242
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1695833624.4307864
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\utils\decorators.py first seen with mtime 1695833624.7513225
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\utils\_os.py first seen with mtime 1695833624.7442682
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1695833624.5607133
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1695833624.627081
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1695833624.5694969
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1695833624.7325573
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\decimal.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\email\quoprimime.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1695833624.556809
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\asyncio\subprocess.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\PIL\__init__.py first seen with mtime 1696872002.8444889
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1695833624.6446488
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1695833624.711054
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1695833624.6544416
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\http\client.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\zoneinfo\_common.py first seen with mtime 1692881952.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1695833623.1373398
